"Dictamen";"Antiguedad.Trabajo";"Vivienda";"Plazo";"Edad";"Estado.civil";"Registros";"Tipo.trabajo";"Gastos";"Ingresos";"Patrimonio";"Cargas.patrimoniales";"Importe.solicitado";"Precio.del.bien.financiado";"Estalvi";"RatiFin"
"positiu";13;"escriptura";60;42;"casat";"reg_no";"fixe";60;107;4000;0;1000;1359;2.82;73.5835172921266
"positiu";0;"escriptura";36;54;"casat";"reg_no";"altres sit";45;134;2500;0;625;801;5.1264;78.0274656679151
"negatiu";2;"lloguer";60;24;"solter";"reg_no";"fixe";35;0;0;0;850;989;-2.47058823529412;85.9453993933266
"positiu";21;"lloguer";60;39;"casat";"reg_no";"fixe";124;191;2000;0;2000;2536;2.01;78.8643533123028
"negatiu";0;"escriptura";60;48;"casat";"reg_no";"temporal";75;100;7000;0;1000;1129;1.5;88.5739592559787
"positiu";2;"pares";36;20;"solter";"reg_no";"fixe";35;110;0;0;500;1314;5.4;38.0517503805175
"negatiu";5;"altres viv";48;32;"casat";"reg_si";"fixe";45;225;0;0;1000;1812;8.64;55.1876379690949
"positiu";15;"pares";60;51;"casat";"reg_si";"fixe";60;100;0;0;300;1742;8;17.2215843857635
"positiu";35;"escriptura";48;54;"casat";"reg_no";"fixe";60;217;5000;0;1250;1455;6.0288;85.9106529209622
"negatiu";3;"altres viv";36;40;"casat";"reg_si";"fixe";75;176;0;0;950;1150;3.82736842105263;82.6086956521739
"positiu";3;"escriptura";24;29;"casat";"reg_no";"fixe";45;254;6000;800;500;1900;9.648;26.3157894736842
"negatiu";3;"altres viv";60;27;"casat";"reg_no";"fixe";90;126;4000;0;1400;1800;1.54285714285714;77.7777777777778
"positiu";0;"escriptura";60;57;"casat";"reg_no";"autonom";45;200;3500;0;950;1070;9.78947368421053;88.785046728972
"negatiu";1;"altres viv";60;36;"casat";"reg_no";"fixe";60;101;0;0;850;1098;2.89411764705882;77.4134790528233
"negatiu";10;"pares";60;31;"casat";"reg_no";"fixe";60;119;0;0;1600;1750;2.2125;91.4285714285714
"positiu";0;"escriptura";48;22;"solter";"reg_no";"fixe";35;152;4000;0;1210;1325;4.64132231404959;91.3207547169811
"negatiu";0;"pares";48;40;"casat";"reg_no";"temporal";90;113;3500;0;600;710;1.84;84.5070422535211
"positiu";18;"altres viv";36;54;"casat";"reg_no";"fixe";75;119;0;0;300;1268;5.28;23.6593059936909
"negatiu";0;"lloguer";60;39;"solter";"reg_si";"fixe";35;0;0;0;2350;2679;-0.893617021276596;87.719298245614
"positiu";8;"pares";60;26;"solter";"reg_no";"autonom";35;75;7000;0;850;989;2.82352941176471;85.9453993933266
"positiu";21;"lloguer";60;36;"casat";"reg_no";"fixe";83;80;0;0;1220;1505;-0.147540983606557;81.063122923588
"negatiu";0;"pares";36;22;"casat";"reg_no";"temporal";60;137;0;0;700;900;3.96;77.7777777777778
"positiu";4;"contr_privat";36;26;"casat";"reg_no";"fixe";45;107;3000;0;700;700;3.18857142857143;100
"negatiu";5;"escriptura";60;36;"casat";"reg_no";"autonom";90;62;3000;0;650;1295;-2.58461538461538;50.1930501930502
"negatiu";5;"escriptura";60;36;"casat";"reg_no";"autonom";90;62;3000;0;650;1295;-2.58461538461538;50.1930501930502
"positiu";19;"lloguer";60;37;"casat";"reg_si";"fixe";88;125;0;0;750;970;2.96;77.319587628866
"negatiu";4;"lloguer";60;28;"casat";"reg_no";"fixe";79;190;4000;0;1250;1250;5.328;100
"positiu";12;"escriptura";24;56;"casat";"reg_si";"fixe";60;124;1000;0;500;1495;3.072;33.4448160535117
"negatiu";3;"escriptura";36;35;"casat";"reg_si";"temporal";60;144;3000;0;475;690;6.36631578947368;68.8405797101449
"negatiu";0;"escriptura";60;31;"casat";"reg_si";"fixe";45;184;3500;0;1550;1679;5.38064516129032;92.3168552709946
"positiu";5;"pares";24;26;"solter";"reg_no";"autonom";35;100;0;0;800;2450;1.95;32.6530612244898
"positiu";10;"escriptura";12;34;"casat";"reg_no";"fixe";75;80;4500;3500;300;1600;-1.2;18.75
"positiu";2;"lloguer";60;36;"casat";"reg_no";"fixe";58;129;0;0;1125;1575;3.78666666666667;71.4285714285714
"positiu";3;"escriptura";24;29;"casat";"reg_no";"fixe";60;225;9000;0;600;980;6.6;61.2244897959184
"positiu";13;"escriptura";48;33;"casat";"reg_no";"fixe";75;191;8000;2000;1400;1602;3.29142857142857;87.3907615480649
"positiu";2;"lloguer";24;28;"casat";"reg_no";"fixe";75;150;0;0;512;1255;3.515625;40.796812749004
"positiu";5;"contr_privat";60;24;"casat";"reg_no";"fixe";45;127;2000;0;1000;1282;4.92;78.003120124805
"negatiu";43;"escriptura";60;57;"casat";"reg_si";"fixe";45;283;8000;0;900;1168;15.8666666666667;77.0547945205479
"positiu";15;"pares";60;34;"solter";"reg_no";"fixe";45;195;17000;0;1200;1200;7.5;100
"positiu";2;"escriptura";36;38;"casat";"reg_no";"fixe";45;114;3600;0;650;1100;3.82153846153846;59.0909090909091
"positiu";0;"lloguer";60;29;"solter";"reg_no";"fixe";35;0;0;0;1550;1700;-1.35483870967742;91.1764705882353
"negatiu";0;"lloguer";60;36;"casat";"reg_si";"fixe";85;100;0;0;1100;1256;0.818181818181818;87.5796178343949
"positiu";0;"lloguer";36;29;"solter";"reg_no";"temporal";46;113;0;0;1100;1110;2.19272727272727;99.0990990990991
"positiu";9;"escriptura";60;47;"casat";"reg_no";"autonom";75;178;50000;0;1850;1852;3.34054054054054;99.8920086393089
"positiu";15;"escriptura";48;53;"casat";"reg_no";"autonom";75;100;17000;0;500;1114;2.4;44.8833034111311
"negatiu";3;"lloguer";36;32;"solter";"reg_no";"autonom";35;0;0;0;950;1350;-1.32631578947368;70.3703703703704
"positiu";10;"escriptura";60;34;"casat";"reg_si";"fixe";60;310;3000;0;1600;1849;9.375;86.5332612222823
"negatiu";2;"altres viv";60;21;"solter";"reg_no";"fixe";35;86;0;0;1400;1600;2.18571428571429;87.5
"positiu";10;"altres viv";36;32;"solter";"reg_no";"fixe";35;139;0;0;1100;2471;3.40363636363636;44.5163901254553
"positiu";0;"escriptura";60;32;"solter";"reg_no";"temporal";35;94;7500;0;1350;1583;2.62222222222222;85.2811118130133
"positiu";1;"lloguer";36;24;"casat";"reg_no";"fixe";59;135;0;0;650;1136;4.20923076923077;57.2183098591549
"positiu";23;"contr_privat";60;51;"casat";"reg_si";"fixe";45;110;2500;0;800;1343;4.875;59.5681310498883
"positiu";3;"escriptura";48;29;"casat";"reg_no";"fixe";45;145;3500;0;700;1104;6.85714285714286;63.4057971014493
"positiu";4;"pares";54;38;"divorciat";"reg_no";"fixe";35;53;0;0;850;1129;1.14352941176471;75.2878653675819
"positiu";18;"escriptura";42;38;"casat";"reg_no";"autonom";75;229;8000;0;1700;1850;3.80470588235294;91.8918918918919
"negatiu";12;"escriptura";60;47;"casat";"reg_si";"autonom";75;285;20000;0;1440;1440;8.75;100
"positiu";2;"lloguer";12;34;"casat";"reg_no";"autonom";69;240;0;0;500;700;4.104;71.4285714285714
"positiu";8;"pares";60;22;"solter";"reg_no";"fixe";35;86;8000;0;1200;1214;2.55;98.8467874794069
"negatiu";24;"contr_privat";60;46;"casat";"reg_no";"fixe";60;165;3500;1300;1400;1530;3.94285714285714;91.5032679738562
"positiu";14;"escriptura";60;39;"casat";"reg_no";"fixe";105;129;3500;1200;750;1888;0.96;39.7245762711864
"positiu";2;"pares";60;28;"casat";"reg_no";"fixe";60;131;6000;0;1250;1346;3.408;92.8677563150074
"positiu";6;"VivUnkown";12;25;"solter";"reg_no";"fixe";35;69;1;1;500;1275;0.81576;39.2156862745098
"positiu";9;"lloguer";60;39;"casat";"reg_no";"fixe";57;123;0;0;1000;1194;3.96;83.7520938023451
"negatiu";6;"lloguer";48;53;"separat";"reg_si";"fixe";56;208;0;0;1200;1479;6.08;81.1359026369168
"positiu";23;"escriptura";60;49;"casat";"reg_no";"fixe";60;133;2000;0;1000;1755;4.38;56.980056980057
"positiu";3;"escriptura";24;46;"casat";"reg_no";"autonom";75;500;14000;0;500;1095;20.4;45.662100456621
"positiu";0;"pares";36;56;"casat";"reg_si";"fixe";35;102;6000;0;1000;1606;2.412;62.266500622665
"positiu";15;"escriptura";48;33;"casat";"reg_no";"fixe";75;150;3000;0;1000;1670;3.6;59.8802395209581
"positiu";0;"pares";60;30;"casat";"reg_no";"fixe";75;100;5000;0;1350;1896;1.11111111111111;71.2025316455696
"positiu";1;"lloguer";18;26;"solter";"reg_no";"fixe";46;110;0;0;500;600;2.304;83.3333333333333
"positiu";1;"escriptura";60;34;"casat";"reg_no";"autonom";60;0;11000;0;1400;1500;-2.57142857142857;93.3333333333333
"positiu";16;"lloguer";60;36;"solter";"reg_si";"fixe";47;120;5500;1700;1650;1852;2.03636363636364;89.0928725701944
"negatiu";2;"pares";24;37;"solter";"reg_no";"fixe";35;78;0;0;800;1298;1.29;61.633281972265
"positiu";12;"escriptura";60;26;"casat";"reg_no";"fixe";60;187;6000;1000;1100;1175;6.38181818181818;93.6170212765958
"positiu";25;"escriptura";60;62;"casat";"reg_no";"autonom";60;428;22000;0;1900;1994;11.6210526315789;95.2858575727182
"positiu";3;"lloguer";60;41;"casat";"reg_no";"altres sit";51;60;0;0;750;818;0.72;91.6870415647922
"negatiu";4;"escriptura";60;37;"casat";"reg_no";"fixe";75;116;3000;575;950;950;2.22631578947368;100
"positiu";2;"escriptura";36;32;"casat";"reg_no";"fixe";75;114;5000;0;1000;1853;1.404;53.9665407447383
"positiu";4;"escriptura";48;32;"casat";"reg_no";"fixe";45;208;6500;5000;1000;1323;5.424;75.5857898715042
"positiu";16;"escriptura";60;31;"casat";"reg_no";"fixe";75;123;4000;0;700;1698;4.11428571428571;41.2249705535925
"negatiu";0;"lloguer";48;28;"casat";"reg_no";"temporal";66;64;0;0;1100;1365;-0.0872727272727273;80.5860805860806
"positiu";10;"escriptura";48;37;"casat";"reg_no";"fixe";75;350;7000;0;1000;1628;13.2;61.4250614250614
"negatiu";3;"pares";36;21;"solter";"reg_no";"fixe";35;85;0;0;105;105;17.1428571428571;100
"positiu";5;"lloguer";24;31;"casat";"reg_no";"fixe";84;90;0;0;400;2230;0.36;17.9372197309417
"positiu";16;"lloguer";60;36;"casat";"reg_no";"fixe";100;250;0;0;1250;1816;7.2;68.8325991189427
"positiu";17;"escriptura";60;34;"casat";"reg_no";"fixe";75;173;4000;1600;933;964;5.27331189710611;96.7842323651452
"negatiu";1;"lloguer";36;25;"solter";"reg_no";"fixe";49;135;0;0;600;675;5.16;88.8888888888889
"positiu";20;"altres viv";60;36;"casat";"reg_no";"fixe";75;210;0;0;1330;1330;6.09022556390977;100
"positiu";7;"lloguer";60;47;"casat";"reg_no";"fixe";53;80;0;0;1350;1612;1.2;83.7468982630273
"positiu";3;"contr_privat";6;24;"solter";"reg_no";"fixe";35;173;4800;0;475;1323;1.74315789473684;35.9032501889645
"positiu";13;"escriptura";60;28;"casat";"reg_no";"fixe";60;130;5000;1500;900;1281;3.66666666666667;70.2576112412178
"positiu";10;"escriptura";36;32;"casat";"reg_no";"fixe";75;112;5000;3600;400;830;0.09;48.1927710843374
"negatiu";2;"lloguer";60;35;"casat";"reg_si";"fixe";52;70;0;0;1000;1000;1.08;100
"negatiu";4;"pares";36;28;"solter";"reg_no";"fixe";35;116;0;0;925;1350;3.15243243243243;68.5185185185185
"positiu";3;"escriptura";48;26;"casat";"reg_no";"fixe";45;165;4000;600;950;1490;5.76;63.758389261745
"positiu";13;"escriptura";36;60;"casat";"reg_no";"autonom";60;116;4000;0;1000;1100;2.016;90.9090909090909
"positiu";2;"escriptura";24;57;"casat";"reg_no";"altres sit";45;25;2500;0;400;1034;-1.2;38.6847195357834
"positiu";2;"pares";36;34;"separat";"reg_no";"fixe";35;130;4000;0;500;550;6.84;90.9090909090909
"negatiu";2;"lloguer";60;57;"casat";"reg_no";"altres sit";50;52;1800;0;800;866;0.15;92.378752886836
"negatiu";0;"altres viv";24;46;"solter";"reg_si";"fixe";35;78;0;0;550;550;1.87636363636364;100
"positiu";1;"escriptura";60;28;"casat";"reg_no";"altres sit";45;148;4500;0;1300;1695;4.75384615384615;76.6961651917404
"negatiu";0;"escriptura";60;44;"casat";"reg_no";"altres sit";60;0;25000;0;850;972;-4.23529411764706;87.4485596707819
"positiu";12;"lloguer";36;35;"casat";"reg_si";"autonom";82;74;8000;0;475;550;-0.606315789473684;86.3636363636364
"positiu";1;"lloguer";60;21;"solter";"reg_no";"fixe";49;138;0;0;950;984;5.62105263157895;96.5447154471545
"negatiu";0;"escriptura";36;45;"casat";"reg_si";"altres sit";90;155;5000;0;300;1012;7.8;29.6442687747036
"positiu";5;"lloguer";48;31;"casat";"reg_no";"fixe";70;247;0;0;900;1039;9.44;86.6217516843118
"positiu";1;"pares";48;27;"solter";"reg_no";"autonom";35;85;0;0;650;650;3.69230769230769;100
"positiu";0;"escriptura";12;59;"casat";"reg_no";"autonom";45;42;4000;0;400;790;-0.09;50.6329113924051
"positiu";17;"ignora_cont";60;55;"casat";"reg_no";"fixe";60;157;8000;0;1600;1600;3.6375;100
"positiu";4;"escriptura";60;36;"casat";"reg_si";"fixe";75;236;3750;2000;1500;1615;5.64;92.8792569659443
"positiu";15;"lloguer";60;41;"casat";"reg_no";"fixe";74;137;0;0;1000;1450;3.78;68.9655172413793
"positiu";28;"escriptura";36;51;"casat";"reg_no";"autonom";60;152;10000;0;500;635;6.624;78.740157480315
"negatiu";1;"contr_privat";60;35;"casat";"reg_no";"autonom";35;0;3000;0;1400;1411;-1.5;99.2204110559887
"positiu";3;"pares";60;33;"solter";"reg_no";"fixe";35;167;10000;0;2000;2250;3.96;88.8888888888889
"negatiu";0;"lloguer";48;39;"casat";"reg_si";"fixe";153;330;0;0;1000;1260;8.496;79.3650793650794
"positiu";7;"lloguer";60;34;"solter";"reg_no";"fixe";60;250;9200;0;1500;1594;7.6;94.1028858218319
"negatiu";1;"pares";36;22;"solter";"reg_no";"fixe";35;80;8000;0;490;690;3.30612244897959;71.0144927536232
"positiu";4;"escriptura";36;25;"solter";"reg_no";"fixe";35;200;5000;0;900;1139;6.6;79.0166812993854
"positiu";35;"escriptura";48;55;"casat";"reg_no";"autonom";60;84;13000;0;1390;1390;0.828776978417266;100
"positiu";19;"escriptura";60;33;"casat";"reg_no";"fixe";75;200;10000;1620;1000;1671;6.528;59.8444045481747
"positiu";6;"escriptura";60;28;"casat";"reg_no";"fixe";60;187;5000;0;1500;2180;5.08;68.8073394495413
"positiu";1;"escriptura";60;24;"solter";"reg_no";"fixe";35;70;4000;0;1200;1505;1.75;79.734219269103
"positiu";12;"escriptura";60;38;"casat";"reg_no";"fixe";75;120;5000;0;1100;1172;2.45454545454545;93.8566552901024
"positiu";0;"escriptura";60;30;"casat";"reg_no";"fixe";45;80;2000;200;1000;1331;1.98;75.1314800901578
"negatiu";15;"lloguer";24;47;"casat";"reg_si";"autonom";79;41;7000;0;1200;2257;-0.76;53.167922020381
"negatiu";3;"lloguer";60;31;"casat";"reg_si";"fixe";81;57;0;0;1400;1475;-1.02857142857143;94.9152542372881
"negatiu";5;"pares";36;26;"solter";"reg_no";"autonom";35;0;5000;3000;1200;2140;-1.95;56.0747663551402
"positiu";0;"pares";48;21;"solter";"reg_no";"fixe";35;70;0;0;1250;1365;1.344;91.5750915750916
"negatiu";0;"lloguer";48;27;"casat";"reg_no";"autonom";70;250;0;0;860;970;10.046511627907;88.659793814433
"positiu";5;"escriptura";60;65;"casat";"reg_no";"altres sit";45;222;12000;0;600;1264;17.7;47.4683544303797
"positiu";14;"escriptura";60;56;"casat";"reg_si";"autonom";75;150;1;0;1000;1104;4.5;90.5797101449275
"positiu";10;"escriptura";48;41;"solter";"reg_no";"fixe";35;175;3000;0;750;1128;8.96;66.4893617021277
"positiu";3;"lloguer";36;25;"solter";"reg_no";"fixe";49;138;0;0;900;1717;3.56;52.417006406523
"positiu";4;"pares";36;27;"casat";"reg_no";"fixe";45;72;0;0;350;1426;2.77714285714286;24.5441795231417
"negatiu";0;"escriptura";60;62;"casat";"reg_si";"altres sit";90;136;2650;0;600;790;4.6;75.9493670886076
"negatiu";10;"escriptura";60;42;"casat";"reg_no";"autonom";90;40;5000;1600;2000;2550;-1.98;78.4313725490196
"positiu";2;"pares";60;25;"solter";"reg_no";"autonom";45;130;8500;0;1100;1380;4.63636363636364;79.7101449275362
"negatiu";1;"pares";60;34;"casat";"reg_no";"fixe";75;190;0;0;700;719;9.85714285714286;97.3574408901252
"positiu";2;"escriptura";60;24;"casat";"reg_no";"fixe";60;243;2500;1980;1250;1451;7.8336;86.1474844934528
"positiu";2;"lloguer";60;26;"casat";"reg_si";"fixe";70;98;0;0;1100;1240;1.52727272727273;88.7096774193548
"negatiu";0;"pares";24;21;"solter";"reg_si";"temporal";35;126;0;0;1150;1586;1.89913043478261;72.5094577553594
"negatiu";10;"escriptura";48;35;"casat";"reg_no";"temporal";75;55;4000;0;1500;1786;-0.64;83.986562150056
"negatiu";1;"escriptura";60;49;"casat";"reg_no";"temporal";105;88;2000;0;850;1149;-1.2;73.9773716275022
"negatiu";1;"escriptura";60;35;"solter";"reg_no";"temporal";35;181;4500;0;1600;1912;5.475;83.6820083682008
"negatiu";14;"contr_privat";60;33;"casat";"reg_si";"fixe";90;77;3400;0;1500;1813;-0.52;82.7357970215113
"negatiu";4;"pares";36;27;"separat";"reg_si";"fixe";35;110;0;0;300;550;9;54.5454545454545
"positiu";17;"escriptura";60;35;"casat";"reg_no";"fixe";60;125;4000;0;1080;1428;3.61111111111111;75.6302521008403
"positiu";4;"escriptura";60;27;"casat";"reg_no";"autonom";60;225;14500;1200;700;2273;13.1142857142857;30.7963044434668
"positiu";2;"lloguer";36;35;"solter";"reg_no";"fixe";42;74;0;0;950;1000;1.21263157894737;95
"positiu";11;"escriptura";18;37;"casat";"reg_no";"fixe";45;115;20000;0;600;1200;2.1;50
"positiu";1;"lloguer";48;64;"casat";"reg_no";"altres sit";74;137;3500;0;600;927;5.04;64.7249190938511
"positiu";14;"escriptura";36;34;"vidu";"reg_no";"fixe";45;202;6500;0;350;800;16.1485714285714;43.75
"positiu";2;"escriptura";48;37;"casat";"reg_no";"fixe";75;135;18000;0;1000;1062;2.88;94.1619585687382
"positiu";5;"escriptura";48;43;"casat";"reg_no";"autonom";45;145;5000;0;680;1350;7.05882352941177;50.3703703703704
"negatiu";6;"lloguer";36;49;"casat";"reg_no";"altres sit";65;54;0;0;450;615;-0.88;73.1707317073171
"positiu";11;"escriptura";12;51;"casat";"reg_no";"autonom";45;80;6000;0;1000;1931;0.42;51.7866390471258
"positiu";9;"escriptura";36;24;"casat";"reg_no";"fixe";45;140;9000;0;1000;1100;3.42;90.9090909090909
"positiu";1;"pares";60;22;"solter";"reg_no";"fixe";35;90;0;0;1250;1590;2.64;78.6163522012579
"negatiu";0;"pares";36;30;"solter";"reg_no";"altres sit";45;32;0;0;650;750;-0.72;86.6666666666667
"positiu";1;"escriptura";24;33;"casat";"reg_no";"fixe";45;130;3000;0;800;1465;2.55;54.6075085324232
"positiu";17;"escriptura";24;50;"casat";"reg_no";"autonom";60;285;22000;700;500;1321;10.464;37.8501135503407
"positiu";0;"pares";36;19;"solter";"reg_no";"temporal";35;75;0;0;1450;1473;0.993103448275862;98.438560760353
"positiu";5;"escriptura";36;26;"casat";"reg_si";"autonom";45;150;7000;0;1500;2588;2.52;57.9598145285935
"positiu";12;"escriptura";60;28;"solter";"reg_si";"fixe";35;172;3000;2000;950;1184;7.38947368421053;80.2364864864865
"negatiu";1;"lloguer";36;23;"casat";"reg_no";"autonom";75;300;0;0;400;700;20.25;57.1428571428571
"positiu";3;"pares";60;26;"solter";"reg_si";"fixe";35;73;0;0;650;1200;3.50769230769231;54.1666666666667
"positiu";20;"escriptura";60;51;"casat";"reg_no";"fixe";60;165;3500;0;500;625;12.6;80
"negatiu";3;"escriptura";36;38;"casat";"reg_no";"autonom";90;300;3000;0;1200;1881;6.3;63.7958532695375
"positiu";14;"lloguer";60;30;"casat";"reg_si";"fixe";67;217;0;0;1800;1807;5;99.6126175982291
"negatiu";0;"altres viv";60;41;"casat";"reg_si";"fixe";105;0;0;0;1000;2750;-6.3;36.3636363636364
"positiu";3;"contr_privat";60;29;"casat";"reg_no";"fixe";60;90;2000;0;1650;1800;1.09090909090909;91.6666666666667
"positiu";4;"pares";36;28;"casat";"reg_no";"fixe";45;100;0;0;1000;2343;1.98;42.6803243704652
"positiu";0;"escriptura";48;38;"casat";"reg_no";"fixe";75;217;3500;0;1400;1689;4.86857142857143;82.8892835997632
"negatiu";7;"escriptura";48;29;"casat";"reg_no";"fixe";60;62;4000;0;984;984;0.0975609756097561;100
"positiu";4;"lloguer";6;28;"casat";"reg_no";"fixe";66;60;0;0;200;1566;-0.18;12.7713920817369
"positiu";16;"escriptura";60;32;"casat";"reg_no";"fixe";60;117;1100;80;1400;1833;2.40857142857143;76.3775231860338
"negatiu";2;"lloguer";48;22;"solter";"reg_no";"fixe";42;73;0;0;940;1127;1.58297872340426;83.4072759538598
"negatiu";2;"pares";48;30;"solter";"reg_no";"fixe";35;86;0;0;900;1127;2.72;79.8580301685892
"negatiu";11;"escriptura";48;30;"casat";"reg_no";"fixe";75;67;3000;2040;1000;1093;-1.3632;91.4913083257091
"positiu";30;"escriptura";36;53;"casat";"reg_no";"fixe";75;165;5000;0;900;900;3.6;100
"negatiu";2;"contr_privat";60;28;"casat";"reg_si";"fixe";75;166;6000;0;1500;1599;3.64;93.8086303939963
"negatiu";5;"altres viv";48;22;"solter";"reg_no";"fixe";35;82;0;0;480;1910;4.7;25.130890052356
"negatiu";1;"lloguer";36;24;"casat";"reg_no";"autonom";44;90;0;0;1050;1493;1.57714285714286;70.3281982585399
"negatiu";1;"lloguer";60;52;"separat";"reg_si";"fixe";68;327;0;0;700;819;22.2;85.4700854700855
"positiu";8;"escriptura";60;34;"casat";"reg_no";"fixe";75;145;3000;1800;1500;1703;2.08;88.0798590722255
"positiu";20;"lloguer";36;39;"casat";"reg_no";"autonom";95;202;0;0;600;1461;6.42;41.0677618069815
"positiu";4;"escriptura";60;30;"casat";"reg_no";"temporal";45;150;4000;2800;1400;1763;3.3;79.4100964265457
"positiu";5;"lloguer";36;46;"casat";"reg_no";"fixe";82;223;0;0;450;650;11.28;69.2307692307692
"positiu";3;"pares";36;52;"casat";"reg_si";"fixe";60;325;0;0;400;1700;23.85;23.5294117647059
"positiu";10;"escriptura";60;52;"casat";"reg_no";"fixe";60;143;5500;0;1300;1661;3.83076923076923;78.266104756171
"positiu";10;"lloguer";60;36;"casat";"reg_no";"fixe";85;100;0;0;850;1150;1.05882352941176;73.9130434782609
"positiu";11;"escriptura";12;25;"casat";"reg_no";"fixe";45;124;2500;1000;800;1602;1.035;49.9375780274657
"positiu";22;"lloguer";48;46;"casat";"reg_no";"fixe";86;110;0;0;1150;1528;1.00173913043478;75.261780104712
"negatiu";0;"altres viv";48;45;"casat";"reg_no";"autonom";75;120;0;0;900;964;2.4;93.3609958506224
"positiu";25;"escriptura";60;53;"casat";"reg_no";"fixe";60;107;4000;0;800;932;3.525;85.8369098712446
"negatiu";2;"altres viv";60;22;"solter";"reg_no";"fixe";35;83;0;0;1400;1430;2.05714285714286;97.9020979020979
"positiu";0;"altres viv";36;50;"casat";"reg_no";"temporal";60;162;20000;0;1000;1615;3.672;61.9195046439628
"negatiu";0;"escriptura";48;52;"casat";"reg_si";"altres sit";90;245;3850;2432;1520;1670;4.12673684210526;91.0179640718563
"positiu";12;"contr_privat";60;47;"casat";"reg_no";"fixe";60;243;8500;0;1850;1890;5.93513513513514;97.8835978835979
"positiu";4;"lloguer";60;27;"solter";"reg_no";"fixe";43;76;0;0;650;1070;3.04615384615385;60.7476635514019
"positiu";12;"escriptura";18;35;"casat";"reg_no";"fixe";60;400;6000;0;200;2225;30.6;8.98876404494382
"positiu";0;"pares";48;21;"solter";"reg_no";"temporal";35;106;5000;0;500;1131;6.816;44.2086648983201
"positiu";22;"escriptura";36;44;"casat";"reg_no";"fixe";75;120;7000;0;650;1852;2.49230769230769;35.097192224622
"negatiu";3;"pares";60;32;"solter";"reg_no";"fixe";35;122;0;0;2000;2050;2.61;97.5609756097561
"positiu";1;"lloguer";36;34;"divorciat";"reg_no";"fixe";43;80;0;0;700;700;1.90285714285714;100
"positiu";14;"contr_privat";60;36;"casat";"reg_no";"fixe";60;120;4000;1500;1500;1540;1.8;97.4025974025974
"positiu";10;"lloguer";48;36;"casat";"reg_no";"fixe";80;200;0;0;978;1338;5.88957055214724;73.0941704035874
"positiu";13;"lloguer";60;36;"casat";"reg_no";"fixe";79;191;4000;700;1000;1209;6.3;82.7129859387924
"positiu";1;"lloguer";60;24;"casat";"reg_no";"fixe";52;67;0;0;800;1137;1.125;70.3605980650836
"negatiu";3;"escriptura";36;26;"solter";"reg_no";"autonom";35;0;60000;3000;800;1000;-2.925;80
"positiu";5;"lloguer";12;35;"casat";"reg_si";"autonom";96;210;0;0;300;700;4.56;42.8571428571429
"positiu";4;"escriptura";60;42;"solter";"reg_no";"fixe";35;110;2500;0;1090;1565;4.12844036697248;69.6485623003195
"positiu";3;"altres viv";60;55;"casat";"reg_no";"fixe";45;45;0;0;600;864;0;69.4444444444444
"positiu";19;"escriptura";60;49;"casat";"reg_no";"fixe";135;150;3500;0;1100;1477;0.818181818181818;74.4752877454299
"negatiu";4;"pares";60;38;"separat";"reg_no";"fixe";35;100;0;0;1300;1500;3;86.6666666666667
"positiu";9;"escriptura";60;32;"casat";"reg_no";"fixe";75;345;6000;3300;700;994;20.3142857142857;70.4225352112676
"positiu";7;"escriptura";60;36;"casat";"reg_no";"fixe";60;122;3000;0;750;850;4.96;88.2352941176471
"positiu";26;"escriptura";60;55;"casat";"reg_no";"fixe";60;110;10000;0;1500;1527;2;98.2318271119843
"negatiu";2;"lloguer";60;30;"casat";"reg_si";"autonom";54;90;2000;0;1500;1500;1.44;100
"positiu";11;"escriptura";48;29;"casat";"reg_no";"fixe";75;76;15000;0;300;1336;0.16;22.4550898203593
"positiu";4;"lloguer";36;48;"casat";"reg_no";"autonom";94;340;1000;0;525;525;16.8685714285714;100
"negatiu";2;"escriptura";60;29;"casat";"reg_si";"fixe";60;185;6300;2300;2000;2675;3.06;74.7663551401869
"positiu";5;"escriptura";60;42;"casat";"reg_no";"fixe";75;101;3500;0;1090;1190;1.43119266055046;91.5966386554622
"positiu";3;"escriptura";24;32;"casat";"reg_no";"fixe";60;196;5000;300;800;1606;3.99;49.813200498132
"positiu";17;"escriptura";36;47;"casat";"reg_no";"fixe";75;158;17000;0;1000;2159;2.988;46.3177396943029
"positiu";9;"pares";60;33;"casat";"reg_no";"fixe";45;221;3000;0;1600;2344;6.6;68.259385665529
"positiu";18;"escriptura";60;32;"solter";"reg_no";"fixe";35;133;3500;150;1600;2200;3.61875;72.7272727272727
"positiu";18;"escriptura";60;42;"casat";"reg_no";"autonom";90;0;5000;0;1300;2147;-4.15384615384615;60.5496040987424
"positiu";6;"escriptura";24;45;"casat";"reg_no";"autonom";90;150;5000;0;250;450;5.76;55.5555555555556
"positiu";12;"escriptura";12;40;"casat";"reg_no";"fixe";75;390;8000;0;500;1732;7.56;28.8683602771363
"positiu";2;"escriptura";36;28;"casat";"reg_no";"temporal";60;146;2500;0;700;1258;4.42285714285714;55.6438791732909
"positiu";1;"pares";48;29;"solter";"reg_no";"autonom";45;478;9000;0;2100;2450;9.89714285714286;85.7142857142857
"positiu";8;"altres viv";24;41;"divorciat";"reg_no";"fixe";60;90;4000;0;500;1600;1.44;31.25
"positiu";25;"contr_privat";48;55;"casat";"reg_no";"fixe";60;169;4000;0;1000;1459;5.232;68.5400959561343
